Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
ALPHA-USD,31.84,18.66,-23.2,-53.54,-67.09,-30.42,Stella USD,Crypto Gainers
SRM-USD,18.61,17.37,-19.65,-46.25,-59.7,-98.97,Serum USD,Crypto Gainers
REX34600-USD,-17.56,117.62,6.24,-6.04,-6.04,-6.04,REVOX USD,Crypto Gainers
GMRT-USD,-22.38,-29.25,-48.38,-48.38,-48.38,-48.38,The Game Company USD,Crypto Gainers
DINO30541-USD,70.6,1217.32,8814.91,6397.31,3068.11,1072.3,Coding Dino USD,Crypto Gainers
ZON-USD,45.27,825.03,1848.84,111.3,111.3,111.3,Zon Token USD,Crypto Gainers
ZLW-USD,6.59,15.22,1.58,15.02,-27.54,-99.83,Zelwin USD,Crypto Gainers
COCORO36264-USD,68.85,139.95,168.18,168.18,168.18,168.18,COCORO USD,Crypto Gainers
CAT32486-USD,-89.8,-75.67,-20.92,-99.07,-82.43,-82.43,NOT USD,Crypto Losers
PEOPLE32079-USD,-99.71,-97.55,-97.8,-100.0,-14.2,-14.2,MAGA USD,Crypto Losers
SKITTEN-USD,-80.34,902.69,902.69,902.69,902.69,902.69,Ski Mask Kitten USD,Crypto Losers
NORDO-USD,-99.38,-98.8,-96.55,-96.55,-96.55,-96.55,Greenland Rare Bear USD,Crypto Losers
POPCAT33470-USD,-2.71,-89.39,-95.33,483.72,483.72,483.72,Popcat (ERC) USD,Crypto Losers
QU3-USD,-99.5,-99.5,-99.5,-99.5,-99.5,-99.5,QU3 AI USD,Crypto Losers
BOME33369-USD,inf,-99.97,inf,inf,inf,inf,Book of Meme 3.0 USD,Crypto Losers
GROK33471-USD,43.1,1320.81,20947.84,168.68,201023.78,201023.78,SORA GROK USD,Crypto Losers
BPX10720-USD,-97.31,-68.66,409.22,-95.07,125314.8,49220.43,Black Phoenix USD,Crypto Losers
DOGS32713-USD,38.33,-80.24,38.33,-97.34,inf,inf,HARRIS DOGS USD,Crypto Losers
IP36200-USD,-71.74,-71.74,-15.23,-15.23,-15.23,-15.23,TRUMP IP USD,Crypto Losers
FUR36326-USD,113.36,184.48,184.48,184.48,184.48,184.48,Furfication USD,Crypto Losers
TRUMP36158-USD,-92.23,27.52,223.72,223.72,223.72,223.72,MAGA TRUMP (magatrumpcoin.com) USD,Crypto Losers
SMOL28839-USD,-90.97,-90.97,-96.99,-97.74,-95.48,-99.18,Smolcoin USD,Crypto Losers
PI36370-USD,inf,inf,inf,inf,inf,inf,PI TRUMP (pitrumphub.com) USD,Crypto Losers
BEER36413-USD,-93.25,91.6,91.6,91.6,91.6,91.6,Beers USD,Crypto Losers
DOGO29570-USD,-93.47,-93.47,inf,inf,inf,-95.65,DOGO USD,Crypto Losers
MOODENG36502-USD,4233.6,4233.6,4233.6,4233.6,4233.6,4233.6,Moo Deng USD,Crypto Losers
FLAKY-USD,inf,inf,inf,inf,-98.84,-98.84,FLAKY USD,Crypto Losers
SISC-USD,-99.86,-99.85,-99.84,-99.76,-99.76,-99.76,Shirushi Coin USD,Crypto Losers
AIAF-USD,-92.47,-90.58,-90.58,-90.58,-90.58,-90.58,AI Agent Factory USD,Crypto Losers
INU26676-USD,inf,inf,inf,inf,inf,inf,INU USD,Crypto Losers
CATEX-USD,inf,inf,inf,-99.18,-99.46,-98.91,CATEX USD,Crypto Losers
FORM35896-USD,-90.6,-71.86,-78.51,-78.51,-78.51,-78.51,Form USD,Crypto Losers
GNESS-USD,-87.3,-94.47,-94.47,-94.47,-94.47,-94.47,Gameness Token USD,Crypto Losers
ESHIB15428-USD,inf,inf,inf,inf,inf,inf,Euro Shiba Inu USD,Crypto Losers
PUMPIT35646-USD,-53.38,-76.01,-55.71,-55.71,-55.71,-55.71,BOGDANOFF USD,Crypto Losers
SPOT30827-USD,-97.54,-96.92,-98.25,-99.48,-99.96,-99.98,Defispot USD,Crypto Losers
LABUBU33432-USD,89.21,89.21,437.35,-57.89,-95.59,-95.59,Labubu USD,Crypto Losers
MECO-USD,-82.95,-74.77,-74.77,-74.77,-74.77,-74.77,Memeseco USD,Crypto Losers
VP-USD,-0.22,-58.16,-29.93,-54.96,-99.24,-99.96,Torah Network USD,Crypto Losers
BONDX-USD,6.55,-51.93,-23.16,-23.16,-23.16,-23.16,BONDX USD,Crypto Losers
GIGGLES-USD,21.6,-22.86,-22.86,-22.86,-22.86,-22.86,Giggles USD,Crypto Losers
GNC36498-USD,-72.83,-84.58,-84.58,-84.58,-84.58,-84.58,Greenchie USD,Crypto Losers
BURGER-USD,36.03,-62.33,-98.02,-98.53,-98.58,-99.28,BurgerCities USD,Crypto Losers
UNQ14943-USD,-58.82,-1.3,-31.67,-55.59,-78.92,-99.94,Unique Venture Clubs USD,Crypto Losers
BACON-USD,8.89,71.32,25.98,37.4,-35.42,-99.76,BaconDAO USD,Crypto Losers
HB35069-USD,-38.04,-54.27,-58.56,-58.56,-58.56,-58.56,HBC USD,Crypto Losers
LAPUPU-USD,29.09,279.59,141.12,-71.08,-87.56,-87.56,Lapupu USD,Crypto Losers
MTN-USD,47.37,-39.14,-53.84,-78.5,-87.62,-95.46,Medicalchain USD,Crypto Losers
NOMAI-USD,-27.59,26.28,-34.92,-34.92,-34.92,-34.92,nomAI USD,Crypto Losers
IZZY36519-USD,-87.18,-87.18,-87.18,-87.18,-87.18,-87.18,Izzy USD,Crypto Losers
GPECTRA-USD,-24.07,-24.07,-24.07,-24.07,-24.07,-24.07,Pectra Giraffe USD,Crypto Losers
DEFI29200-USD,-32.44,-13.09,-73.79,-81.78,-94.66,-99.48,DeFi USD,Crypto Losers
DUCKY33852-USD,inf,inf,inf,-97.69,-89.39,-89.39,Ducky USD,Crypto Losers
MIMATIC-USD,23.85,-32.78,158.94,-29.81,15.93,-34.54,MAI USD,Crypto Losers
SSG-USD,47.67,18.81,-57.64,-74.29,-82.09,-100.0,SOMESING USD,Crypto Losers
MIND28542-USD,-15.76,158.76,-11.08,-19.2,-62.59,-95.52,Morpheus Infrastructure Node USD,Crypto Losers
BLINK7784-USD,8.28,152.21,18.11,-66.07,-50.44,-93.22,BLink USD,Crypto Losers
AFT36132-USD,-33.73,-40.76,-63.42,-63.42,-63.42,-63.42,AIFlow USD,Crypto Losers
JAK-USD,-29.39,82.07,-36.18,-82.0,-82.0,-82.0,Jak USD,Crypto Losers
SNL35953-USD,inf,inf,inf,inf,inf,inf,Snow Leopard USD,Crypto Losers
XBT-USD,-16.73,-16.71,-16.73,-11.13,-17.46,-17.3,XBIT USD,Crypto Losers
APFC-USD,-30.67,-35.23,-56.41,-45.99,0.65,130.66,APF coin USD,Crypto Losers
URS33547-USD,-42.82,227.71,58.71,-79.88,-80.79,-80.79,Uranus USD,Crypto Losers
AURA36505-USD,40.93,-32.36,-32.36,-32.36,-32.36,-32.36,Aurascope USD,Crypto Losers
VXV-USD,-23.32,-66.22,-92.03,-93.59,-97.55,-90.05,Vectorspace AI USD,Crypto Losers
KLY-USD,-24.08,699.82,9.38,-32.8,-87.34,-87.34,Klayr USD,Crypto Losers
PUNKAI-USD,-74.55,-23.65,-42.74,-69.46,-84.2,-98.71,PunkAI USD,Crypto Losers
MXC-USD,-36.21,-59.25,-74.42,-86.98,-94.76,-83.5,Moonchain USD,Crypto Losers
DLC21849-USD,-49.97,-50.81,-56.66,-64.96,-51.23,-28.82,Diamond Launch USD,Crypto Losers
LEGEND-USD,-36.13,-2.9,-55.01,-55.01,-55.01,-55.01,Legend USD,Crypto Losers
MAXETH-USD,-39.09,-8.64,-39.09,-54.32,82.72,82.72,Max on ETH USD,Crypto Losers
NYAN13140-USD,-57.96,-71.04,-84.63,-94.36,-98.24,-98.24,Nyan Heroes USD,Crypto Losers
VELAAI-USD,-79.95,-79.95,-79.95,-79.95,-79.95,-79.95,VELAAI USD,Crypto Losers
PLAYFUN-USD,-41.58,-47.01,-47.01,-47.01,-47.01,-47.01,PLAYFUN USD,Crypto Losers
NAIIVE-USD,-21.86,10.77,10.77,10.77,10.77,10.77,Naiive USD,Crypto Losers
FRM-USD,-16.64,37.83,-64.52,-94.27,-98.74,-94.17,Ferrum Network USD,Crypto Losers
BUDDY36501-USD,10.42,-19.59,-19.59,-19.59,-19.59,-19.59,Creator Buddy USD,Crypto Losers
KEK31398-USD,-6.81,831.9,86.38,-6.81,831.9,831.9,Kekistan USD,Crypto Losers
SPURDO31522-USD,-19.13,150.24,-23.34,-86.82,-82.52,-82.52,SPURDO USD,Crypto Losers
USBT-USD,-33.58,-67.62,-81.09,-93.74,-100.0,-100.0,Universal Blockchain USD,Crypto Losers
HOSICO-USD,-34.89,-42.95,-42.95,-42.95,-42.95,-42.95,Hosico USD,Crypto Losers
TITS33686-USD,-11.97,-74.26,-84.58,-99.55,-96.99,-96.99,We Love Tits USD,Crypto Losers
MAG36004-USD,-49.84,-70.17,-93.5,-93.5,-93.5,-93.5,Magnetix USD,Crypto Losers
SYNDOG-USD,-26.8,39.2,-47.21,-43.23,-43.23,-43.23,Synthesizer Dog USD,Crypto Losers
BABYELON-USD,inf,inf,inf,inf,inf,inf,Baby Elon USD,Crypto Losers
STUPID-USD,26.32,70.35,46.21,46.21,46.21,46.21,StupidCoin USD,Crypto Losers
SUIAGENT-USD,-61.81,-64.43,-64.43,-64.43,-64.43,-64.43,aiSUI USD,Crypto Losers
UMT-USD,-44.76,-62.64,-43.68,-91.72,-91.03,-98.24,UnityMeta USD,Crypto Losers
EGG8449-USD,-21.22,-25.89,-7.91,-45.68,-66.26,-99.98,Goose Finance USD,Crypto Losers
XEM-USD,-23.77,-16.06,-38.44,-35.67,-61.79,-64.29,NEM USD,Crypto Losers
WAWA-USD,12.7,12.7,-43.06,-93.27,-93.27,-93.27,Wawa Cat USD,Crypto Losers
HOUSE36356-USD,-35.75,-51.75,-51.75,-51.75,-51.75,-51.75,Housecoin USD,Crypto Losers
LETSBONK-USD,-33.23,-83.19,-83.19,-83.19,-83.19,-83.19,Let's BONK USD,Crypto Losers
NUB-USD,-19.87,28.71,-14.0,-80.33,-84.67,-92.23,nubcat USD,Crypto Losers
LUDUS-USD,-28.72,-35.67,-35.67,-35.67,-35.67,-35.67,Ludus USD,Crypto Losers
WALTER-USD,14.16,100.99,-38.22,-62.37,-94.0,-94.0,walter USD,Crypto Losers
BONGO-USD,-9.64,186.66,84.01,-86.64,-86.64,-86.64,Bongo Cat USD,Crypto Losers
DOLAN33441-USD,-15.89,80.14,63.07,-78.27,-76.89,-76.89,Dolan Duck USD,Crypto Losers
DODO30411-USD,-15.74,71.98,-42.98,-62.89,-82.36,-93.79,DODO USD,Crypto Losers
SMH-USD,-28.33,-39.87,-78.45,-93.72,-99.29,-99.67,Spacemesh USD,Crypto Losers
STMX-USD,-21.15,-24.21,-18.18,-58.49,-56.95,155.91,StormX USD,Crypto Losers
SOLC29919-USD,-12.33,13.14,9.53,-23.48,-61.01,-69.36,SolCard USD,Crypto Losers
RATO36485-USD,-29.13,-27.4,-27.4,-27.4,-27.4,-27.4,Rato The Rat (ratotherat.com) USD,Crypto Losers
MINDS34955-USD,-9.21,25.16,10584.03,10584.03,10584.03,10584.03,Mindscraft USD,Crypto Losers
GOLC-USD,-12.36,21.7,7.79,-18.33,-71.83,-99.98,GOLCOIN USD,Crypto Losers
FROGGER-USD,-34.65,131.53,131.53,131.53,131.53,131.53,FROGGER USD,Crypto Losers
PROJECT89-USD,-5.95,78.29,9.89,-93.75,-93.75,-93.75,Project89 USD,Crypto Losers
ORBK-USD,15.04,-41.08,-67.13,-88.2,-99.26,-99.79,Ordibank USD,Crypto Losers
